threshold,sensitivity,specificity,precision,f1,youden
0.4703030303030303,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.47525252525252526,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.4802020202020202,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.4851515151515151,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.4901010101010101,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.495050505050505,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.5,0.9609375,0.9625,0.9761904761904762,0.968503937007874,0.9234374999999999
0.5049494949494949,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5098989898989899,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5148484848484849,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5197979797979798,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5247474747474747,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5296969696969697,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5346464646464646,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5395959595959596,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5445454545454546,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5494949494949495,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5544444444444444,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5593939393939393,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5643434343434344,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5692929292929293,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5742424242424242,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5791919191919191,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
