threshold,sensitivity,specificity,precision
0.4599999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4649999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4699999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4749999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4799999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.48499999999999993,0.9588235294117647,0.9754385964912281,0.9588235294117647
0.48999999999999994,0.9588235294117647,0.9754385964912281,0.9588235294117647
0.49499999999999994,0.9588235294117647,0.9754385964912281,0.9588235294117647
0.49999999999999994,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5049999999999999,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5099999999999999,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5149999999999999,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5199999999999999,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5249999999999999,0.9588235294117647,0.9789473684210527,0.9644970414201184
0.5299999999999999,0.9529411764705882,0.9789473684210527,0.9642857142857143
0.5349999999999999,0.9529411764705882,0.9789473684210527,0.9642857142857143
0.5399999999999999,0.9529411764705882,0.9789473684210527,0.9642857142857143
0.5449999999999999,0.9529411764705882,0.9824561403508771,0.9700598802395209
0.5499999999999999,0.9529411764705882,0.9824561403508771,0.9700598802395209
0.5549999999999999,0.9529411764705882,0.9859649122807017,0.9759036144578314
0.5599999999999999,0.9529411764705882,0.9859649122807017,0.9759036144578314
0.565,0.9529411764705882,0.9859649122807017,0.9759036144578314
0.57,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.575,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.58,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.585,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.59,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.595,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.6,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.605,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.61,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.615,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.62,0.9529411764705882,0.9894736842105263,0.9818181818181818
0.625,0.9470588235294117,0.9894736842105263,0.9817073170731707
0.63,0.9470588235294117,0.9894736842105263,0.9817073170731707
0.635,0.9470588235294117,0.9894736842105263,0.9817073170731707
0.6399999999999999,0.9470588235294117,0.9929824561403509,0.9877300613496932
0.6449999999999999,0.9411764705882353,0.9929824561403509,0.9876543209876543
0.6499999999999999,0.9411764705882353,0.9929824561403509,0.9876543209876543
0.6549999999999999,0.9411764705882353,0.9929824561403509,0.9876543209876543
0.6599999999999999,0.9411764705882353,0.9929824561403509,0.9876543209876543
0.6649999999999999,0.9411764705882353,0.9929824561403509,0.9876543209876543
0.6699999999999999,0.9352941176470588,0.9929824561403509,0.9875776397515528
0.6749999999999999,0.9352941176470588,0.9929824561403509,0.9875776397515528
0.6799999999999999,0.9352941176470588,0.9929824561403509,0.9875776397515528
0.6849999999999999,0.9352941176470588,0.9929824561403509,0.9875776397515528
0.69,0.9352941176470588,0.9929824561403509,0.9875776397515528
0.695,0.9352941176470588,0.9964912280701754,0.99375
0.7,0.9352941176470588,0.9964912280701754,0.99375
0.705,0.9352941176470588,0.9964912280701754,0.99375
0.71,0.9352941176470588,0.9964912280701754,0.99375
0.715,0.9352941176470588,0.9964912280701754,0.99375
0.72,0.9352941176470588,0.9964912280701754,0.99375
0.725,0.9352941176470588,0.9964912280701754,0.99375
0.73,0.9294117647058824,0.9964912280701754,0.9937106918238994
0.735,0.9294117647058824,1.0,1.0
0.74,0.9294117647058824,1.0,1.0
0.7449999999999999,0.9294117647058824,1.0,1.0
0.7499999999999999,0.9294117647058824,1.0,1.0
0.7549999999999999,0.9235294117647059,1.0,1.0
0.7599999999999999,0.9235294117647059,1.0,1.0
0.7649999999999999,0.9235294117647059,1.0,1.0
0.7699999999999999,0.9235294117647059,1.0,1.0
0.7749999999999999,0.9235294117647059,1.0,1.0
0.7799999999999999,0.9235294117647059,1.0,1.0
0.7849999999999999,0.9176470588235294,1.0,1.0
0.7899999999999999,0.9176470588235294,1.0,1.0
0.7949999999999999,0.9176470588235294,1.0,1.0
0.7999999999999999,0.9176470588235294,1.0,1.0
0.8049999999999999,0.9176470588235294,1.0,1.0
0.8099999999999999,0.9176470588235294,1.0,1.0
0.815,0.9176470588235294,1.0,1.0
0.82,0.9176470588235294,1.0,1.0
0.825,0.9176470588235294,1.0,1.0
0.83,0.9176470588235294,1.0,1.0
0.835,0.9176470588235294,1.0,1.0
0.84,0.9176470588235294,1.0,1.0
0.845,0.9176470588235294,1.0,1.0
0.8499999999999999,0.9176470588235294,1.0,1.0
0.8549999999999999,0.9117647058823529,1.0,1.0
0.8599999999999999,0.9117647058823529,1.0,1.0
0.8649999999999999,0.9117647058823529,1.0,1.0
0.8699999999999999,0.9117647058823529,1.0,1.0
0.8749999999999999,0.9117647058823529,1.0,1.0
0.8799999999999999,0.9117647058823529,1.0,1.0
0.8849999999999999,0.9117647058823529,1.0,1.0
0.8899999999999999,0.9117647058823529,1.0,1.0
0.8949999999999999,0.9117647058823529,1.0,1.0
0.8999999999999999,0.9117647058823529,1.0,1.0
0.9049999999999999,0.9058823529411765,1.0,1.0
0.9099999999999999,0.9,1.0,1.0
0.9149999999999999,0.8941176470588236,1.0,1.0
0.9199999999999999,0.888235294117647,1.0,1.0
0.9249999999999999,0.888235294117647,1.0,1.0
0.9299999999999999,0.8823529411764706,1.0,1.0
0.9349999999999999,0.8764705882352941,1.0,1.0
0.94,0.8764705882352941,1.0,1.0
0.945,0.8705882352941177,1.0,1.0
0.95,0.8588235294117647,1.0,1.0
